"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04820","hsa04820","Cytoskeleton in muscle cells",0.0323442136498516,"232/8843",2.64172155130156e-13,10.045358581804,4.11552410097506e-11,"7791/3339/2023/2027/2192/2199/2200/2201/84467/2273/2274/2275/2318/56776/752/114793/91010/2335/1465/23002/1605/1634/1674/1729/1730/81624/1756/1824/1829/1832/1837/1158/1301/1302/1277/1278/255631/85301/1281/1282/1284/1285/1286/1287/1288/1289/1290/50509/1291/1292/1293/256076/131873/1297/476/477/478/480/481/482/483/23439/825/829/830/832/7273/1462/7414/7431/129446/23353/25777/23345/23224/161176/171024/7058/7059/7060/7094/83660/7111/29766/29765/7125/7136/7138/7139/7140/7168/7169/7170/7171/57159/84675/6442/6443/6444/8910/6445/137868/6640/6641/6709/6711/6712/57731/51332/8082/6382/6383/9672/6385/9124/64236/27295/8572/10611/9260/5339/4703/10529/4811/22795/4892/84033/4604/4606/4608/343263/4628/4629/8735/79784/22989/4620/4621/4622/4624/4625/57644/4626/4627/4632/4633/4635/10398/8736/9172/127294/9499/51778/84665/3672/8515/22801/3673/3674/3675/3676/3678/3655/3679/8516/3680/3685/3688/3690/3691/3693/3694/3695/3696/3728/284217/3908/3930/11155/4000/4001/84823/25802/442721/56203/72/88/375790/270/271/272/287/288/200539/1298/2026/64423/7135/84676/1466/8048/23500/633/60/70/71/26287/7137/4619/4634/58/27063/58498/5318/6645/79188/29767/165904",218
"hsa04510","hsa04510","Focal adhesion",0.0283382789317507,"203/8843",5.85012788465929e-12,9.00111025674404,4.55694172068197e-10,"7791/2885/2932/3082/3381/3479/3480/3611/2013/2064/2316/2317/2321/2324/2335/2534/1499/1729/1950/1956/2002/595/894/896/998/1101/1277/1278/1280/1282/1284/1285/1286/1287/1288/1291/1292/1293/256076/131873/1297/1398/1399/572/9564/329/330/673/824/857/858/859/7408/7409/7410/10451/7414/7422/7424/7448/7450/331/7058/7059/7060/7094/83660/3371/63923/7143/7148/25759/53358/399694/6654/6655/6696/5829/5880/2889/5923/5649/387/6093/9475/5154/5155/56034/80310/5156/5159/5170/5228/5290/5291/5293/5295/5296/8503/8394/8395/23396/5499/5500/5501/4659/4660/54776/5578/5579/5582/5728/5058/5062/5063/10298/56924/55742/29780/5604/5594/5602/5595/5601/4233/103910/4633/10398/4638/85366/91807/340156/3672/8515/22801/3673/3674/3675/3676/3678/3655/3679/8516/3680/3685/3688/3690/3691/3693/3694/3695/3696/3791/284217/3908/3909/3910/3911/3912/3914/22798/3915/3918/10319/87/81/207/208/10000/2909/394/596/1298/5747/5894/6464/7423/3265/2012/60/71/6714/5906/5908/64098/5599/10627/3913/58498/5879/3725",191
"hsa04010","hsa04010","MAPK signaling pathway",0.0403560830860534,"300/8843",4.69241156155898e-11,8.27297077955661,2.43676109161659e-09,"2768/55970/2885/3082/3303/3305/3479/3480/3481/3551/8517/3553/3554/3556/3630/3643/3654/1969/2064/2065/2066/2069/355/356/2246/2255/8823/8822/9965/2247/26291/8074/2248/2250/2251/2252/2253/2254/2260/2263/2261/2316/2321/2322/2324/2668/11221/80824/1844/1845/1846/1847/1850/1852/51295/1942/1944/1945/1946/1950/1956/2002/2005/994/998/1147/1398/1399/1435/1436/408/409/1386/627/673/773/774/775/776/777/778/8913/8912/8911/779/781/9254/55799/93589/782/783/784/785/786/10369/10368/27092/27091/59285/59284/59283/836/7422/7424/6788/6789/3925/10454/23118/57551/9344/7010/7039/7040/7042/7043/7046/7048/7124/7132/7157/8717/7186/7189/6654/6655/5880/9693/5921/5922/5923/5924/10125/10235/25780/115727/5971/5979/6195/6196/6197/8986/9252/27330/6237/22800/5154/5155/56034/80310/5156/5159/5228/5321/8605/283748/123745/255189/5494/5495/5530/5532/5533/5535/5536/5566/5567/5578/5579/5582/84867/5801/4763/4772/4775/4790/4803/4804/51701/3164/4893/4902/4908/4909/4914/4915/5058/5062/5604/5606/6416/5607/5608/5609/4214/4294/4296/9175/10746/4215/4216/4217/6885/1326/4293/11184/5871/8491/9448/5594/5602/5600/6300/1432/5595/5598/9479/23162/5601/9261/7867/8550/4137/4149/2122/4208/4233/8569/2872/22808/4609/8681/3791/3815/4254/3845/8649/207/208/10000/284/285/51378/369/2264/2323/3312/5605/5894/51347/7423/3265/3552/51135/8817/1647/1616/1849/929/9048/5906/5908/5970/5778/7786/5599/23542/1848/5568/5879/6722/3725",272
"hsa04360","hsa04360","Axon guidance",0.0253709198813056,"184/8843",1.47823643942601e-09,6.9606359327323,5.00204734864078e-08,"2770/2771/2773/2932/3611/55740/2041/1969/2042/2043/2044/285220/2045/2046/2047/2048/2049/2534/7976/151449/6387/7852/1630/1808/56896/1942/1944/1945/1946/1947/1948/1949/998/1072/1073/655/658/659/91653/815/816/817/7220/7222/7223/7224/7225/90249/219699/8633/137970/54361/7474/81029/10371/10512/223117/9723/6405/64218/10509/10507/10505/57715/9037/54437/57556/10501/10500/80031/8482/6469/6585/9353/6586/6608/57522/23380/9901/54434/85464/5880/5921/56963/5998/387/29984/6091/6092/64221/6093/9475/6237/6259/5170/5290/5291/5293/5295/5296/8503/5335/5336/5361/5362/91584/5364/23654/5365/10154/5530/5532/5533/5535/5578/5590/5727/5781/4690/8440/4756/4773/4775/25791/4893/8829/9423/4917/59277/22854/84628/5058/5062/5063/10298/56924/56288/84612/84552/5594/5595/4233/103910/10398/3688/3845/3897/3984/3985/9860/25/3983/84448/22885/23365/818/4776/5747/5894/27289/3265/2051/56920/54910/6714/54961/55558/10627/2050/64101/5879",171
"hsa05205","hsa05205","Proteoglycans in cancer",0.027893175074184,"204/8843",1.60538681797593e-09,6.9606359327323,5.00204734864078e-08,"2817/2719/2885/1839/3059/3082/3091/3236/10855/60495/3316/3339/3479/3480/3481/3549/8826/2064/2065/2066/2099/7430/355/356/2247/2260/2316/2335/7976/8322/8323/2549/1499/1514/2017/1634/1655/29102/1956/1975/2002/595/960/998/1026/1277/1278/673/815/816/817/836/857/858/859/867/7409/7410/10451/7422/7448/80326/7480/7481/51384/7472/7482/7473/89780/54361/7474/81029/7475/7476/7477/7478/7479/7483/7484/7023/7040/7042/7074/7078/7099/7124/7157/6469/6548/4087/6608/6654/6655/6774/5829/5962/387/6093/9475/6194/6198/6199/6237/22800/6382/6383/6385/5170/5290/5291/5293/5295/5296/8503/51196/5335/5336/5499/5500/5501/4659/4660/54776/5566/5567/5578/5579/5582/5727/5781/5777/4893/84309/5058/4060/5604/5594/5600/6300/1432/5595/4193/4233/4313/4318/22808/4478/2475/4609/79923/3673/3678/3685/3688/3690/3693/3708/3709/3710/3791/3845/207/208/10000/286/287/288/369/9138/23365/818/10818/5605/5329/5747/5894/3265/60/71/7471/6714/5328/7855/3593/27250/5568/5879/7291",188
"hsa04151","hsa04151","PI3K-Akt signaling pathway",0.0473293768545994,"362/8843",4.41873732164889e-09,6.60009868633692,1.14732126948077e-07,"2782/2784/55970/54331/2785/2786/2792/2793/2885/2932/2997/2998/3082/3320/7184/3381/3454/3455/3479/3480/3481/3551/8517/3559/3562/3563/3565/3566/3570/3574/3575/3630/3643/1969/2057/2064/2065/2066/2069/2149/356/2246/2255/8823/8822/9965/2247/26291/8074/2248/2250/2251/2252/2253/2254/2260/2263/2261/2321/2322/2324/2335/2309/57818/92579/2668/2689/2690/54541/1942/1944/1945/1946/1950/1956/1975/1977/9470/595/894/896/898/11140/1019/1021/1026/1027/1101/1147/1277/1278/1280/1282/1284/1285/1286/1287/1288/1291/1292/1293/256076/131873/1297/1385/10488/90993/64764/84699/148327/9586/200186/1435/1436/1440/1441/1442/1444/1386/1388/572/598/10018/627/672/842/7248/7249/7422/7424/7448/7450/7529/7531/7532/7533/10971/7534/6794/6850/9623/7010/7039/7058/7059/7060/117145/7099/3371/63923/7143/7148/7157/6446/10110/23678/6654/6655/6696/5934/5649/5979/6009/6194/6198/6199/57521/6256/5154/5155/56034/80310/5156/5159/5170/5228/23239/23035/118788/5290/5291/5293/5294/5295/5296/8503/23533/146850/5585/5586/29941/5515/5516/5518/5519/5520/5521/5522/55844/5523/28227/5525/5526/5528/5529/5562/5563/5578/5617/5618/5728/4790/4803/4804/4846/3164/4893/4902/4908/4909/4914/4915/5008/9180/5106/9223/9863/5604/5594/5595/4193/4233/2475/4602/4609/3672/8515/22801/3673/3674/3675/3676/3678/3655/3679/8516/3680/3685/3688/3690/3691/3693/3694/3695/3696/3716/3717/3718/3791/3815/4254/3845/284217/3908/3909/3910/3911/3912/3914/22798/3915/3918/10319/1902/9170/23566/207/208/10000/284/285/51378/596/9134/1298/2264/2323/59345/3456/3561/5605/5747/5894/7423/2783/2788/3265/3326/3560/3569/2056/8817/253314/1129/9048/100533105/5970/3913/1017/10681/2790/2791/3441/3667/5527/5879/3558/57121/10161",319
"hsa04014","hsa04014","Ras signaling pathway",0.0318991097922849,"238/8843",1.22112574008475e-08,6.22558327519863,2.71769337642922e-07,"2782/2784/55970/54331/2785/2786/2792/2793/2885/2902/2903/2904/3082/3363/3479/3480/3481/3551/8517/3630/3643/1969/2113/55770/356/2246/2255/8823/8822/9965/2247/26291/8074/2248/2250/2251/2252/2253/2254/2260/2263/2261/2321/2322/2324/4303/2549/9846/1942/1944/1945/1946/1950/1956/2002/998/1147/1435/1436/572/598/627/8315/805/808/51806/163688/7422/7424/7535/6789/8831/29110/7010/7039/7074/25759/53358/399694/8036/6654/6655/5868/5869/5880/5898/5899/253959/57186/57148/5900/9771/5921/5922/22821/8437/9462/64926/5923/5924/10125/10235/25780/115727/11186/83593/5966/23179/5863/387/9610/6237/22800/5154/5155/56034/80310/5156/5159/5228/5290/5291/5293/5295/5296/8503/81579/84647/5320/391013/26279/30814/50487/5321/8605/283748/123745/255189/5322/8398/51196/5335/5336/5337/5338/5566/5567/5578/5579/5582/5781/4763/4790/4803/4804/4893/4908/4909/4914/4915/5058/5062/5063/10298/56924/5604/5594/5602/5595/5601/4233/22808/8681/3791/3815/4254/3845/8844/283455/27040/25/27/207/208/10000/284/285/51378/382/2264/2323/59345/5605/51365/5894/10156/6464/7423/2783/2788/3265/8817/91860/5878/10928/5906/5908/5970/64600/5599/10681/2790/2791/5568/5879",215
"hsa05165","hsa05165","Human papillomavirus infection",0.0433234421364985,"333/8843",6.48039254963364e-08,5.55873429395352,1.26197118071813e-06,"2778/2885/2932/3065/3066/23493/26508/3134/3135/3381/3454/3455/3551/9641/8517/3659/3661/2033/8772/355/356/2335/2308/7976/8322/8323/1499/1739/1740/1741/1855/1856/1857/1869/1950/1956/5610/8900/890/595/894/896/898/998/1019/1021/1026/1027/1101/1108/1147/1277/1278/1280/1282/1284/1285/1286/1287/1288/1291/1292/1293/256076/131873/1297/92359/1385/10488/90993/64764/84699/148327/9586/1387/1452/472/537/535/23545/533/527/9114/245972/8992/155066/523/525/526/245973/529/9296/534/51606/545/8312/8313/572/578/581/10134/836/841/7248/7249/7283/27175/7297/7337/23352/7422/7448/7450/80326/7480/7481/51384/7472/7482/7473/89780/54361/7474/81029/7475/7476/7477/7478/7479/7483/7484/10474/29110/9519/387332/6932/83439/6934/10312/7058/7059/7060/148022/7098/3371/7124/7132/63923/7143/7148/7157/8717/7187/9368/6654/6655/6696/6772/5829/5925/5933/5934/3516/11317/5649/5986/6009/6198/6199/23513/5159/5290/5291/5293/5295/5296/8503/5515/5516/5518/5519/5520/5521/5522/55844/5523/28227/5525/5526/5528/5529/5566/5567/5584/5590/5728/5734/5743/4790/4799/4851/4853/4854/4855/4893/8638/56288/84612/84552/9223/9794/84441/55534/5604/5594/5595/4193/2475/4600/10379/3672/8515/22801/3673/3674/3675/3676/3678/3655/3679/8516/3680/3685/3688/3690/3691/3693/3694/3695/3696/182/3716/3845/284217/3908/3909/3910/3911/3912/3914/22798/3915/3918/10319/3955/3996/3993/207/208/10000/324/51382/9134/1298/122011/3456/5605/5315/5747/5894/6908/3105/3265/50617/528/9550/10297/7471/7015/6773/5970/5700/4242/4599/3913/1017/7855/23462/3441/5527/5568/5663",292
"hsa05410","hsa05410","Hypertrophic cardiomyopathy",0.0140949554896142,"99/8843",7.66023551424391e-08,5.54709961728306,1.29623610448431e-06,"3479/1605/1674/1756/1837/1906/487/488/489/775/776/778/779/781/9254/55799/93589/782/783/784/785/786/10369/10368/27092/27091/59285/59284/59283/859/7273/7040/7042/7043/7124/7139/7168/7169/7170/7171/6442/6443/6444/8910/6445/137868/6546/6543/6547/6640/6641/8082/6262/5562/5563/5571/51422/53632/4842/4624/4625/4633/3672/8515/22801/3673/3674/3675/3676/3678/3655/3679/8516/3680/3685/3688/3690/3691/3693/3694/3695/3696/284217/3908/4000/1636/183/3569/60/70/71/7137/5565/4634/6645",95
"hsa04152","hsa04152","AMPK signaling pathway",0.0170623145400593,"122/8843",8.3204344544601e-08,5.54709961728306,1.29623610448431e-06,"2997/2998/3156/3172/3479/3480/3630/3643/2203/8789/2308/2309/57818/92579/1938/29904/1994/8900/890/595/948/1080/1149/1374/126129/1385/10488/90993/64764/84699/148327/9586/200186/51719/81617/10645/7248/7249/8408/6794/92335/55437/23216/23411/6720/10890/9230/51552/4218/6009/6198/6199/57521/79966/5170/5207/5208/5209/5211/5213/5214/5290/5291/5293/5295/5296/8503/5468/10891/5515/5516/5518/5519/5520/5521/5522/55844/5523/28227/5525/5526/5528/5529/5562/5563/5571/51422/53632/5106/6885/23417/2475/8660/8471/3952/3953/3991/31/32/9370/51094/79602/148/207/84335/208/10000/2194/6517/5565/3667/5210/5527/5862/6319",115
