"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007213","BP","GO:0007213","G protein-coupled acetylcholine receptor signaling pathway",0.333333333333333,"19/18903",1.43230984116044e-05,2.88695907968802,0.000567620821274217,"GNA11/GNAQ",2
"GO:0007603","BP","GO:0007603","phototransduction, visible light",0.333333333333333,"20/18903",1.59123076286019e-05,2.88695907968802,0.000567620821274217,"GNA11/GNAQ",2
"GO:0095500","BP","GO:0095500","acetylcholine receptor signaling pathway",0.333333333333333,"29/18903",3.39589174114005e-05,2.88695907968802,0.000567620821274217,"GNA11/GNAQ",2
"GO:1905145","BP","GO:1905145","cellular response to acetylcholine",0.333333333333333,"31/18903",3.88828533542593e-05,2.88695907968802,0.000567620821274217,"GNA11/GNAQ",2
"GO:0009649","BP","GO:0009649","entrainment of circadian clock",0.333333333333333,"34/18903",4.68904156704788e-05,2.88695907968802,0.000567620821274217,"GNA11/GNAQ",2
"GO:1905144","BP","GO:1905144","response to acetylcholine",0.333333333333333,"34/18903",4.68904156704788e-05,2.88695907968802,0.000567620821274217,"GNA11/GNAQ",2
"GO:0098926","BP","GO:0098926","postsynaptic signal transduction",0.333333333333333,"38/18903",5.87261130338351e-05,2.8561586952794,0.000609338616441297,"GNA11/GNAQ",2
"GO:0007602","BP","GO:0007602","phototransduction",0.333333333333333,"49/18903",9.80863548584372e-05,2.69137330361945,0.000890520853320022,"GNA11/GNAQ",2
"GO:0009584","BP","GO:0009584","detection of visible light",0.333333333333333,"53/18903",0.000114869603095916,2.67392930092869,0.000927017849545988,"GNA11/GNAQ",2
"GO:0009583","BP","GO:0009583","detection of light stimulus",0.333333333333333,"68/18903",0.00018949130656195,2.50230262165996,0.00137630527923943,"GNA11/GNAQ",2
"GO:0042752","BP","GO:0042752","regulation of circadian rhythm",0.333333333333333,"120/18903",0.000589577563677083,2.05074364899146,0.0038929044874372,"GNA11/GNAQ",2
"GO:0009581","BP","GO:0009581","detection of external stimulus",0.333333333333333,"137/18903",0.000767410283887224,1.99010867090761,0.00447619220397244,"GNA11/GNAQ",2
"GO:0009582","BP","GO:0009582","detection of abiotic stimulus",0.333333333333333,"140/18903",0.000801173532160285,1.99010867090761,0.00447619220397244,"GNA11/GNAQ",2
"GO:0001508","BP","GO:0001508","action potential",0.333333333333333,"146/18903",0.000870834879401948,1.98608413219743,0.00451786516381462,"GNA11/GNAQ",2
"GO:0007623","BP","GO:0007623","circadian rhythm",0.333333333333333,"210/18903",0.00178913724908483,1.7033395133807,0.00866319089030549,"GNA11/GNAQ",2
"GO:0007188","BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",0.333333333333333,"248/18903",0.00248362820288226,1.58892531177556,0.0112743648683471,"GNA11/GNAQ",2
"GO:0030223","BP","GO:0030223","neutrophil differentiation",0.166666666666667,"10/18903",0.00317032319109012,1.53406087946618,0.0127925321745742,"BAP1",1
"GO:0071377","BP","GO:0071377","cellular response to glucagon stimulus",0.166666666666667,"10/18903",0.00317032319109012,1.53406087946618,0.0127925321745742,"CYSLTR2",1
"GO:0086100","BP","GO:0086100","endothelin receptor signaling pathway",0.166666666666667,"11/18903",0.00348689430530447,1.51773929997302,0.0132824471769089,"GNA11",1
"GO:0048511","BP","GO:0048511","rhythmic process",0.333333333333333,"302/18903",0.00365748545451115,1.51773929997302,0.0132824471769089,"GNA11/GNAQ",2
"GO:0009416","BP","GO:0009416","response to light stimulus",0.333333333333333,"321/18903",0.0041218483806043,1.48701919418467,0.0142560169554735,"GNA11/GNAQ",2
"GO:0043249","BP","GO:0043249","erythrocyte maturation",0.166666666666667,"16/18903",0.0050684934646017,1.41743570193761,0.0167333037826563,"BAP1",1
"GO:0045945","BP","GO:0045945","positive regulation of transcription by RNA polymerase III",0.166666666666667,"18/18903",0.00570054713386514,1.38570320707435,0.0180017277911531,"SF3B1",1
"GO:0033762","BP","GO:0033762","response to glucagon",0.166666666666667,"20/18903",0.00633226616188065,1.37742135014111,0.0183483090795955,"CYSLTR2",1
"GO:0036344","BP","GO:0036344","platelet morphogenesis",0.166666666666667,"22/18903",0.00696365069040439,1.37742135014111,0.0183483090795955,"BAP1",1
"GO:0042391","BP","GO:0042391","regulation of membrane potential",0.333333333333333,"431/18903",0.00732127967103257,1.37742135014111,0.0183483090795955,"GNA11/GNAQ",2
"GO:0061484","BP","GO:0061484","hematopoietic stem cell homeostasis",0.166666666666667,"24/18903",0.00759470086114666,1.37742135014111,0.0183483090795955,"BAP1",1
"GO:1903241","BP","GO:1903241","U2-type prespliceosome assembly",0.166666666666667,"24/18903",0.00759470086114666,1.37742135014111,0.0183483090795955,"SF3B1",1
"GO:0009314","BP","GO:0009314","response to radiation",0.333333333333333,"452/18903",0.00802891837115432,1.37742135014111,0.0183483090795955,"GNA11/GNAQ",2
"GO:0010259","BP","GO:0010259","multicellular organism aging",0.166666666666667,"26/18903",0.00822541681577382,1.37742135014111,0.0183483090795955,"GNA11",1
"GO:0030318","BP","GO:0030318","melanocyte differentiation",0.166666666666667,"26/18903",0.00822541681577382,1.37742135014111,0.0183483090795955,"GNA11",1
"GO:0071467","BP","GO:0071467","cellular response to pH",0.166666666666667,"27/18903",0.0085406495063024,1.37742135014111,0.0183483090795955,"GNA11",1
"GO:0016570","BP","GO:0016570","histone modification",0.333333333333333,"474/18903",0.00880277992643726,1.37742135014111,0.0183483090795955,"SF3B1/BAP1",2
"GO:0006359","BP","GO:0006359","regulation of transcription by RNA polymerase III",0.166666666666667,"29/18903",0.00917086440228065,1.37742135014111,0.0183483090795955,"SF3B1",1
"GO:0035521","BP","GO:0035521","monoubiquitinated histone deubiquitination",0.166666666666667,"29/18903",0.00917086440228065,1.37742135014111,0.0183483090795955,"BAP1",1
"GO:0035522","BP","GO:0035522","monoubiquitinated histone H2A deubiquitination",0.166666666666667,"29/18903",0.00917086440228065,1.37742135014111,0.0183483090795955,"BAP1",1
"GO:0007202","BP","GO:0007202","activation of phospholipase C activity",0.166666666666667,"30/18903",0.00948584664311936,1.37742135014111,0.0183483090795955,"GNAQ",1
"GO:1903955","BP","GO:1903955","positive regulation of protein targeting to mitochondrion",0.166666666666667,"32/18903",0.0101155607989444,1.37742135014111,0.0183483090795955,"BAP1",1
"GO:0045943","BP","GO:0045943","positive regulation of transcription by RNA polymerase I",0.166666666666667,"33/18903",0.0104302927493025,1.37742135014111,0.0183483090795955,"SF3B1",1
"GO:0035066","BP","GO:0035066","positive regulation of histone acetylation",0.166666666666667,"34/18903",0.0107449413048669,1.37742135014111,0.0183483090795955,"SF3B1",1
"GO:0035520","BP","GO:0035520","monoubiquitinated protein deubiquitination",0.166666666666667,"34/18903",0.0107449413048669,1.37742135014111,0.0183483090795955,"BAP1",1
"GO:0071108","BP","GO:0071108","protein K48-linked deubiquitination",0.166666666666667,"36/18903",0.0113739883023283,1.37742135014111,0.0183483090795955,"BAP1",1
"GO:1903749","BP","GO:1903749","positive regulation of establishment of protein localization to mitochondrion",0.166666666666667,"36/18903",0.0113739883023283,1.37742135014111,0.0183483090795955,"BAP1",1
"GO:0050931","BP","GO:0050931","pigment cell differentiation",0.166666666666667,"37/18903",0.0116883867795733,1.37742135014111,0.0183483090795955,"GNA11",1
"GO:0030851","BP","GO:0030851","granulocyte differentiation",0.166666666666667,"38/18903",0.012002701932723,1.37742135014111,0.0183483090795955,"BAP1",1
"GO:0048821","BP","GO:0048821","erythrocyte development",0.166666666666667,"38/18903",0.012002701932723,1.37742135014111,0.0183483090795955,"BAP1",1
"GO:0033028","BP","GO:0033028","myeloid cell apoptotic process",0.166666666666667,"39/18903",0.0123169337794448,1.37742135014111,0.0183483090795955,"BAP1",1
"GO:0007212","BP","GO:0007212","dopamine receptor signaling pathway",0.166666666666667,"40/18903",0.0126310823374027,1.37742135014111,0.0183483090795955,"GNA11",1
"GO:0010863","BP","GO:0010863","positive regulation of phospholipase C activity",0.166666666666667,"40/18903",0.0126310823374027,1.37742135014111,0.0183483090795955,"GNAQ",1
"GO:2000758","BP","GO:2000758","positive regulation of peptidyl-lysine acetylation",0.166666666666667,"40/18903",0.0126310823374027,1.37742135014111,0.0183483090795955,"SF3B1",1
"GO:0070050","BP","GO:0070050","neuron cellular homeostasis",0.166666666666667,"41/18903",0.0129451476242594,1.37577396583271,0.0184180408374576,"BAP1",1
