"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04730","hsa04730","Long-term depression",0.5,"60/8843",5.85457281521312e-06,3.81673461326913,4.01311670987083e-05,"2767/2776/5332",3
"hsa04927","hsa04927","Cortisol synthesis and secretion",0.5,"65/8843",7.4635022134541e-06,3.81673461326913,4.01311670987083e-05,"2767/2776/5332",3
"hsa04929","hsa04929","GnRH secretion",0.5,"65/8843",7.4635022134541e-06,3.81673461326913,4.01311670987083e-05,"2767/2776/5332",3
"hsa04020","hsa04020","Calcium signaling pathway",0.666666666666667,"254/8843",9.53115218594322e-06,3.81673461326913,4.01311670987083e-05,"57105/2767/2776/5332",4
"hsa04911","hsa04911","Insulin secretion",0.5,"86/8843",1.73928798562659e-05,3.71777846161448,5.04008593972208e-05,"2767/2776/5332",3
"hsa04540","hsa04540","Gap junction",0.5,"92/8843",2.13097843795602e-05,3.71777846161448,5.04008593972208e-05,"2767/2776/5332",3
"hsa04912","hsa04912","GnRH signaling pathway",0.5,"93/8843",2.20144689974695e-05,3.71777846161448,5.04008593972208e-05,"2767/2776/5332",3
"hsa04925","hsa04925","Aldosterone synthesis and secretion",0.5,"98/8843",2.57696527211264e-05,3.71777846161448,5.04008593972208e-05,"2767/2776/5332",3
"hsa05142","hsa05142","Chagas disease",0.5,"103/8843",2.99255102670998e-05,3.71777846161448,5.04008593972208e-05,"2767/2776/5332",3
"hsa05146","hsa05146","Amoebiasis",0.5,"103/8843",2.99255102670998e-05,3.71777846161448,5.04008593972208e-05,"2767/2776/5332",3
"hsa04725","hsa04725","Cholinergic synapse",0.5,"115/8843",4.1651144675898e-05,3.6533743306764,5.84577469135411e-05,"2767/2776/5332",3
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action",0.5,"115/8843",4.1651144675898e-05,3.6533743306764,5.84577469135411e-05,"2767/2776/5332",3
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action",0.5,"122/8843",4.97154982403019e-05,3.61127158212467,6.44087426595004e-05,"2767/2776/5332",3
"hsa04270","hsa04270","Vascular smooth muscle contraction",0.5,"134/8843",6.58198447783849e-05,3.52159120792272,7.9181768154448e-05,"2767/2776/5332",3
"hsa04934","hsa04934","Cushing syndrome",0.5,"155/8843",0.000101630592529244,3.36288682745109,0.000114111542488976,"2767/2776/5332",3
"hsa04022","hsa04022","cGMP-PKG signaling pathway",0.5,"166/8843",0.000124648265912035,3.30225376762986,0.000131208700960037,"2767/2776/5332",3
"hsa05143","hsa05143","African trypanosomiasis",0.333333333333333,"37/8843",0.000252846061294286,3.02141275458889,0.000250497645864308,"2776/5332",2
"hsa05163","hsa05163","Human cytomegalovirus infection",0.5,"226/8843",0.000311215504883092,2.95603130553496,0.000291195794042659,"2767/2776/5332",3
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption",0.333333333333333,"53/8843",0.000520631889983622,2.75604286077593,0.000461501952340053,"2776/5332",2
"hsa04720","hsa04720","Long-term potentiation",0.333333333333333,"67/8843",0.000831823402878988,2.57481888685071,0.000700482865582306,"2776/5332",2
"hsa04924","hsa04924","Renin secretion",0.333333333333333,"69/8843",0.000882079166844897,2.57053175582121,0.000707431913259066,"2776/5332",2
"hsa04918","hsa04918","Thyroid hormone synthesis",0.333333333333333,"75/8843",0.00104148709174854,2.52644356152807,0.00078301997628848,"2776/5332",2
"hsa04971","hsa04971","Gastric acid secretion",0.333333333333333,"76/8843",0.00106931165511896,2.52644356152807,0.00078301997628848,"2776/5332",2
"hsa04713","hsa04713","Circadian entrainment",0.333333333333333,"97/8843",0.00173584224838449,2.35224978030455,0.00116940951470113,"2776/5332",2
"hsa04970","hsa04970","Salivary secretion",0.333333333333333,"97/8843",0.00173584224838449,2.35224978030455,0.00116940951470113,"2776/5332",2
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels",0.333333333333333,"99/8843",0.00180744609312228,2.35172802061159,0.00117081528299419,"2776/5332",2
"hsa04916","hsa04916","Melanogenesis",0.333333333333333,"101/8843",0.00188045189655379,2.35092156187079,0.00117299143644681,"2776/5332",2
"hsa04972","hsa04972","Pancreatic secretion",0.333333333333333,"106/8843",0.00206908265456284,2.33237735953362,0.00122416242194109,"2776/5332",2
"hsa04922","hsa04922","Glucagon signaling pathway",0.333333333333333,"107/8843",0.00210785467027981,2.33237735953362,0.00122416242194109,"2776/5332",2
"hsa04726","hsa04726","Serotonergic synapse",0.333333333333333,"115/8843",0.0024305259289472,2.29206003290207,0.0013432485192225,"2776/5332",2
"hsa04724","hsa04724","Glutamatergic synapse",0.333333333333333,"116/8843",0.00247241680569392,2.29206003290207,0.0013432485192225,"2776/5332",2
"hsa04071","hsa04071","Sphingolipid signaling pathway",0.333333333333333,"122/8843",0.00273099353977156,2.26264933152872,0.0014373650209324,"2776/5332",2
"hsa04611","hsa04611","Platelet activation",0.333333333333333,"125/8843",0.00286491600996652,2.25522207150778,0.00146215809121098,"2776/5332",2
