"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"GO:0007213","BP","GO:0007213","G protein-coupled acetylcholine receptor signaling pathway",0.5,"19/18903",5.73611562299937e-06,3.48699316678124,8.24498552072473e-05,"GNA11/GNAQ",2
"GO:0007603","BP","GO:0007603","phototransduction, visible light",0.5,"20/18903",6.37301196420006e-06,3.48699316678124,8.24498552072473e-05,"GNA11/GNAQ",2
"GO:0095500","BP","GO:0095500","acetylcholine receptor signaling pathway",0.5,"29/18903",1.36094709033074e-05,3.48699316678124,8.24498552072473e-05,"GNA11/GNAQ",2
"GO:1905145","BP","GO:1905145","cellular response to acetylcholine",0.5,"31/18903",1.55850009705244e-05,3.48699316678124,8.24498552072473e-05,"GNA11/GNAQ",2
"GO:0009649","BP","GO:0009649","entrainment of circadian clock",0.5,"34/18903",1.87985669872524e-05,3.48699316678124,8.24498552072473e-05,"GNA11/GNAQ",2
"GO:1905144","BP","GO:1905144","response to acetylcholine",0.5,"34/18903",1.87985669872524e-05,3.48699316678124,8.24498552072473e-05,"GNA11/GNAQ",2
"GO:0098926","BP","GO:0098926","postsynaptic signal transduction",0.5,"38/18903",2.35501962831117e-05,3.45607016953434,8.85345724929011e-05,"GNA11/GNAQ",2
"GO:0007602","BP","GO:0007602","phototransduction",0.5,"49/18903",3.93648941790603e-05,3.29094755938653,0.000129489783483751,"GNA11/GNAQ",2
"GO:0009584","BP","GO:0009584","detection of visible light",0.5,"53/18903",4.6113517426009e-05,3.27338091973975,0.00013483484627488,"GNA11/GNAQ",2
"GO:0009583","BP","GO:0009583","detection of light stimulus",0.5,"68/18903",7.61504310395698e-05,3.101294294755,0.000200395871156763,"GNA11/GNAQ",2
"GO:0042752","BP","GO:0042752","regulation of circadian rhythm",0.5,"120/18903",0.000237804022963514,2.64814014849487,0.000568909145845727,"GNA11/GNAQ",2
"GO:0009581","BP","GO:0009581","detection of external stimulus",0.5,"137/18903",0.000309904295406687,2.58689135648308,0.000655076028827919,"GNA11/GNAQ",2
"GO:0009582","BP","GO:0009582","detection of abiotic stimulus",0.5,"140/18903",0.000323607558240992,2.58689135648308,0.000655076028827919,"GNA11/GNAQ",2
"GO:0001508","BP","GO:0001508","action potential",0.5,"146/18903",0.00035189415528088,2.58268264281605,0.000661455179099398,"GNA11/GNAQ",2
"GO:0007623","BP","GO:0007623","circadian rhythm",0.5,"210/18903",0.000726248598039617,2.29797261272581,0.00127412034743792,"GNA11/GNAQ",2
"GO:0007188","BP","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway",0.5,"248/18903",0.0010108714929195,2.18239069396121,0.00166261758703866,"GNA11/GNAQ",2
"GO:0048511","BP","GO:0048511","rhythmic process",0.5,"302/18903",0.00149434996474642,2.03896326441291,0.00231323523954554,"GNA11/GNAQ",2
"GO:0009416","BP","GO:0009416","response to light stimulus",0.5,"321/18903",0.00168634404040604,2.01129298364903,0.00246541526375152,"GNA11/GNAQ",2
"GO:0086100","BP","GO:0086100","endothelin receptor signaling pathway",0.25,"11/18903",0.00232582627852596,1.89514298853381,0.00322136603673955,"GNA11",1
"GO:0042391","BP","GO:0042391","regulation of membrane potential",0.5,"431/18903",0.00301875280320988,1.80416910498414,0.00397204316211827,"GNA11/GNAQ",2
"GO:0009314","BP","GO:0009314","response to radiation",0.5,"452/18903",0.00331546616518149,1.78464135520338,0.00415471950523996,"GNA11/GNAQ",2
"GO:0045945","BP","GO:0045945","positive regulation of transcription by RNA polymerase III",0.25,"18/18903",0.00380378364422307,1.7451735348333,0.00454998043567353,"SF3B1",1
"GO:1903241","BP","GO:1903241","U2-type prespliceosome assembly",0.25,"24/18903",0.00506929674519374,1.64194319008163,0.00577085116980656,"SF3B1",1
"GO:0010259","BP","GO:0010259","multicellular organism aging",0.25,"26/18903",0.00549086638277163,1.64194319008163,0.00577085116980656,"GNA11",1
"GO:0030318","BP","GO:0030318","melanocyte differentiation",0.25,"26/18903",0.00549086638277163,1.64194319008163,0.00577085116980656,"GNA11",1
"GO:0071467","BP","GO:0071467","cellular response to pH",0.25,"27/18903",0.00570160095576888,1.64194319008163,0.00577085116980656,"GNA11",1
"GO:0006359","BP","GO:0006359","regulation of transcription by RNA polymerase III",0.25,"29/18903",0.00612296962792525,1.62847380405928,0.00595263508851683,"SF3B1",1
"GO:0007202","BP","GO:0007202","activation of phospholipase C activity",0.25,"30/18903",0.0063336037341819,1.62847380405928,0.00595263508851683,"GNAQ",1
"GO:0045943","BP","GO:0045943","positive regulation of transcription by RNA polymerase I",0.25,"33/18903",0.00696530517624705,1.60421726423744,0.00629456611976127,"SF3B1",1
"GO:0035066","BP","GO:0035066","positive regulation of histone acetylation",0.25,"34/18903",0.00717580537652784,1.60421726423744,0.00629456611976127,"SF3B1",1
"GO:0050931","BP","GO:0050931","pigment cell differentiation",0.25,"37/18903",0.00780710518581429,1.588200710026,0.00653104015654882,"GNA11",1
"GO:0007212","BP","GO:0007212","dopamine receptor signaling pathway",0.25,"40/18903",0.00843810388226107,1.588200710026,0.00653104015654882,"GNA11",1
"GO:0010863","BP","GO:0010863","positive regulation of phospholipase C activity",0.25,"40/18903",0.00843810388226107,1.588200710026,0.00653104015654882,"GNAQ",1
"GO:2000758","BP","GO:2000758","positive regulation of peptidyl-lysine acetylation",0.25,"40/18903",0.00843810388226107,1.588200710026,0.00653104015654882,"SF3B1",1
"GO:1900274","BP","GO:1900274","regulation of phospholipase C activity",0.25,"42/18903",0.00885860244227255,1.5817192624524,0.00662924090762559,"GNAQ",1
"GO:0006356","BP","GO:0006356","regulation of transcription by RNA polymerase I",0.25,"43/18903",0.00906880156163181,1.5817192624524,0.00662924090762559,"SF3B1",1
"GO:0009268","BP","GO:0009268","response to pH",0.25,"45/18903",0.00948909949678678,1.57394338436753,0.00674900390952118,"GNA11",1
"GO:0048066","BP","GO:0048066","developmental pigmentation",0.25,"49/18903",0.010329294252122,1.55820343418265,0.00699809171463893,"GNA11",1
"GO:1901985","BP","GO:1901985","positive regulation of protein acetylation",0.25,"51/18903",0.0107491911290255,1.55820343418265,0.00699809171463893,"SF3B1",1
"GO:0007215","BP","GO:0007215","glutamate receptor signaling pathway",0.25,"52/18903",0.0109590894546933,1.55820343418265,0.00699809171463893,"GNAQ",1
"GO:0010543","BP","GO:0010543","regulation of platelet activation",0.25,"52/18903",0.0109590894546933,1.55820343418265,0.00699809171463893,"GNAQ",1
"GO:0006383","BP","GO:0006383","transcription by RNA polymerase III",0.25,"53/18903",0.0111689543765637,1.55820343418265,0.00699809171463893,"SF3B1",1
"GO:0010518","BP","GO:0010518","positive regulation of phospholipase activity",0.25,"55/18903",0.0115885840230903,1.55240474231259,0.00709215668487776,"GNAQ",1
"GO:0006360","BP","GO:0006360","transcription by RNA polymerase I",0.25,"62/18903",0.0130562360872599,1.51060134264747,0.00780875364070569,"SF3B1",1
"GO:0035065","BP","GO:0035065","regulation of histone acetylation",0.25,"65/18903",0.0136847292327342,1.50289218952414,0.00794860424925341,"SF3B1",1
