"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04730","hsa04730","Long-term depression",0.666666666666667,"60/8843",0.000135229300422158,2.67091301657253,0.000374293364307364,"2767/2776",2
"hsa04927","hsa04927","Cortisol synthesis and secretion",0.666666666666667,"65/8843",0.000158853349617898,2.67091301657253,0.000374293364307364,"2767/2776",2
"hsa04929","hsa04929","GnRH secretion",0.666666666666667,"65/8843",0.000158853349617898,2.67091301657253,0.000374293364307364,"2767/2776",2
"hsa04911","hsa04911","Insulin secretion",0.666666666666667,"86/8843",0.000278694803726455,2.67091301657253,0.000374293364307364,"2767/2776",2
"hsa04540","hsa04540","Gap junction",0.666666666666667,"92/8843",0.000319038375585517,2.67091301657253,0.000374293364307364,"2767/2776",2
"hsa04912","hsa04912","GnRH signaling pathway",0.666666666666667,"93/8843",0.000326025453796022,2.67091301657253,0.000374293364307364,"2767/2776",2
"hsa04925","hsa04925","Aldosterone synthesis and secretion",0.666666666666667,"98/8843",0.000362087587156494,2.67091301657253,0.000374293364307364,"2767/2776",2
"hsa05142","hsa05142","Chagas disease",0.666666666666667,"103/8843",0.000400026033103495,2.67091301657253,0.000374293364307364,"2767/2776",2
"hsa05146","hsa05146","Amoebiasis",0.666666666666667,"103/8843",0.000400026033103495,2.67091301657253,0.000374293364307364,"2767/2776",2
"hsa04725","hsa04725","Cholinergic synapse",0.666666666666667,"115/8843",0.000498720674047345,2.66229407587753,0.000381795731328111,"2767/2776",2
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action",0.666666666666667,"115/8843",0.000498720674047345,2.66229407587753,0.000381795731328111,"2767/2776",2
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action",0.666666666666667,"122/8843",0.000561265838813291,2.64877139878154,0.000393870764079503,"2767/2776",2
"hsa04270","hsa04270","Vascular smooth muscle contraction",0.666666666666667,"134/8843",0.000676991313643043,2.60211901856678,0.000438536883331526,"2767/2776",2
"hsa04934","hsa04934","Cushing syndrome",0.666666666666667,"155/8843",0.000905282003488134,2.50810291138348,0.000544530528413915,"2767/2776",2
"hsa04022","hsa04022","cGMP-PKG signaling pathway",0.666666666666667,"166/8843",0.00103790811819986,2.47869111279674,0.000582685259340274,"2767/2776",2
"hsa05170","hsa05170","Human immunodeficiency virus 1 infection",0.666666666666667,"213/8843",0.00170498705059707,2.29115766041258,0.000897361605577404,"2767/2776",2
"hsa05163","hsa05163","Human cytomegalovirus infection",0.666666666666667,"226/8843",0.00191806688853709,2.26634393579993,0.000950126012897629,"2767/2776",2
"hsa04020","hsa04020","Calcium signaling pathway",0.666666666666667,"254/8843",0.00241876297884675,2.19043795497656,0.00113158501934351,"2767/2776",2
"hsa05143","hsa05143","African trypanosomiasis",0.333333333333333,"37/8843",0.0125012622893469,1.50055849635958,0.00554072566840859,"2776",1
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption",0.333333333333333,"53/8843",0.0178747840633032,1.36754795428701,0.00752622486875925,"2776",1
